stop_id,stop_name,mode,longitude,latitude,SA2_CODE21,SA2_NAME21
1100,Broadway/Glen Huntly Rd,Bus,144.98222,-37.88212,206051129,Elwood
1109,Inkerman St/Barkly St,Bus,144.98194,-37.86373,206051513,St Kilda - Central
1414,Bay St/New St,Bus,144.99328,-37.9041,208011169,Brighton (Vic.)
14948,Moorabbin Station/Nepean Hwy,Bus,145.0362,-37.93461,208031191,Moorabbin - Heatherton
18766,Sunshine Station/Dickson St,Bus,144.83322,-37.78743,213011336,Sunshine
19488,Doncaster Shopping Centre/Williamsons Rd,Bus,145.12499,-37.78402,207021157,Doncaster
19648,Box Hill Bus Station/Station St,Bus,145.12214,-37.81983,207031163,Box Hill
20394,Head St/New St,Bus,144.99562,-37.89178,208011169,Brighton (Vic.)
20400,North Brighton Station/Bay St,Bus,145.00317,-37.90554,208011169,Brighton (Vic.)
20668,Watsonia Station/Greensborough Hwy,Bus,145.08415,-37.7109,209011204,Watsonia
20986,Southland Shopping Centre/Karen St ,Bus,145.05319,-37.9578,208031188,Highett (East) - Cheltenham
21220,Frankston Railway Station/Fletcher Rd,Bus,145.12624,-38.14412,214011371,Frankston
23173,Skybus Coach Terminal/Spencer St,Bus,144.9519,-37.81628,206041118,Docklands
23175,Skybus Coach Terminal/Spencer St,Bus,144.95254,-37.81646,206041118,Docklands
23183,Skybus Coach Terminal/Spencer St,Bus,144.95172,-37.81604,206041118,Docklands
3245,Bay St/New St,Bus,144.99316,-37.90392,208011169,Brighton (Vic.)
3633,North Brighton Station/Bay St,Bus,145.00208,-37.90551,208011169,Brighton (Vic.)
3749,Head St/New St,Bus,144.99547,-37.89173,208011169,Brighton (Vic.)
3752,Elsternwick Station/20 Horne St,Bus,145.0003,-37.88511,208021179,Elsternwick
42273,Chelsea Railway Station/Station St,Bus,145.11621,-38.05194,208031186,Chelsea - Bonbeach
45511,Melbourne Airport T1 Skybus/Arrival Dr,Bus,144.85068,-37.66933,210051248,Melbourne Airport
45513,Melbourne Airport T3 Skybus/Arrival Dr,Bus,144.84874,-37.67094,210051248,Melbourne Airport
48578,Melbourne Airport T4 Skybus/Service Rd,Bus,144.84914,-37.67232,210051248,Melbourne Airport
48784,Quest/435-437 Nepean Hwy,Bus,145.12158,-38.14235,214011371,Frankston
48787,938 Nepean Hwy,Bus,145.03702,-37.93676,208031191,Moorabbin - Heatherton
5184,Werribee RSL/Synnot St,Bus,144.6643,-37.90114,213051368,Werribee - South
7183,Werribee RSL/Synnot St,Bus,144.66452,-37.90135,213051368,Werribee - South
894,Elsternwick Station/Horne St,Bus,145.00029,-37.8849,208021179,Elsternwick
901,Ormond Rd/Glen Huntly Rd,Bus,144.98304,-37.88232,206051129,Elwood
910,Fawkner St/Barkly St,Bus,144.9816,-37.86455,206051514,St Kilda - West
9349,Rogers St/Balcombe Rd,Bus,145.06904,-37.98172,208031190,Mentone
9629,Rogers St/Balcombe Rd,Bus,145.06913,-37.98184,208031190,Mentone
20043,Southern Cross Station,Train,144.95217,-37.81816,206041118,Docklands
vic:rail:SSS,Southern Cross Railway Station,Train,144.95278,-37.81866,206041118,Docklands
13626,Lakeside Bvd/Princes Hwy,Regional,145.45671,-38.06235,212011552,Pakenham - South West
13763,High St/Main Rd,Regional,144.73661,-37.27812,210021235,Romsey
13764,High St/Main Rd,Regional,144.73681,-37.27805,210021235,Romsey
13765,Romsey Community Hub/Main St,Regional,144.74281,-37.35009,210021235,Romsey
13766,Romsey Community Hub/Main St,Regional,144.74304,-37.35012,210021235,Romsey
18335,Michael St/Princes Hwy,Regional,145.45606,-38.06186,212011550,Pakenham - North West
20816,Sunbury Station/Brook St,Regional,144.72855,-37.57912,210041540,Sunbury - South
20830,Gisborne Station/Early St,Regional,144.59895,-37.4592,210021232,Gisborne
20831,Riddells Creek Station/Hamilton St ,Regional,144.67936,-37.46455,210021234,Riddells Creek
20832,Clarkefield Station/Station St ,Regional,144.74576,-37.48342,210021235,Romsey
22989,Monegeetta Milk Bar/Melbourne-Lancefield Rd,Regional,144.74929,-37.41396,210021235,Romsey
28164,Southeast Bvd/Healesville-Koo Wee Rup Rd ,Regional,145.48883,-38.09745,212011552,Pakenham - South West
28730,Dumbarton Way/Mulgutherie Way,Regional,144.57823,-37.4905,210021232,Gisborne
28731,Argyle St/Station Rd ,Regional,144.59714,-37.462,210021232,Gisborne
28732,Argyle St/Station Rd ,Regional,144.59719,-37.46228,210021232,Gisborne
28734,Cherry Lane/Swinburne Ave,Regional,144.5862,-37.4763,210021232,Gisborne
28736,Station Rd/Cherry Lane ,Regional,144.5915,-37.47728,210021232,Gisborne
28738,Hamilton St/Goode St,Regional,144.5865,-37.4877,210021232,Gisborne
28739,Howey St/Penny Green Dr,Regional,144.58483,-37.49207,210021232,Gisborne
28741,Dalton St/Melton Rd ,Regional,144.58545,-37.4957,210021232,Gisborne
28744,Fowler Ct/Willowbank Rd,Regional,144.58785,-37.4997,210021232,Gisborne
28746,Glenton Ct/Mt Gisborne Rd ,Regional,144.58857,-37.5029,210021232,Gisborne
28747,Belcher Way/Willowbank Rd ,Regional,144.59035,-37.49998,210021232,Gisborne
28748,Belcher Way/Willowbank Rd ,Regional,144.59102,-37.49996,210021232,Gisborne
28750,Willowbank Rd/Brady Rd ,Regional,144.5971,-37.50097,210021232,Gisborne
28751,Parkview St/Brady Rd ,Regional,144.59636,-37.50489,210021232,Gisborne
28752,Cherry Ballart Rd/Brady Rd ,Regional,144.59649,-37.50496,210021232,Gisborne
28753,Gordon Bvd/Brooking Rd ,Regional,144.60218,-37.51053,210021232,Gisborne
28754,Gordon Bvd/Brooking Rd ,Regional,144.60197,-37.51041,210021232,Gisborne
28755,Brooking Rd/McGeorge Rd ,Regional,144.60931,-37.51066,210021232,Gisborne
28756,Brooking Rd/McGeorge Rd ,Regional,144.60945,-37.51091,210021232,Gisborne
28757,Rothschild Rd/McGeorge Rd ,Regional,144.60884,-37.50595,210021232,Gisborne
28758,Rothschild Rd/McGeorge Rd ,Regional,144.60903,-37.50593,210021232,Gisborne
28759,Tasman Rd/Rothschild Rd ,Regional,144.60481,-37.50488,210021232,Gisborne
28760,Town Pl/Rothschild Rd ,Regional,144.60495,-37.50479,210021232,Gisborne
28761,Willowbank Rd/Childe Harold Rd ,Regional,144.6046,-37.50214,210021232,Gisborne
28762,Willowbank Rd/Childe Harold Rd ,Regional,144.60473,-37.50218,210021232,Gisborne
28763,Thompson Cl/Fersfield Rd ,Regional,144.60502,-37.49798,210021232,Gisborne
28764,Carnegie Ct/Fersfield Rd ,Regional,144.60123,-37.49754,210021232,Gisborne
28765,Keily Rd/Fersfield Rd,Regional,144.59759,-37.49713,210021232,Gisborne
28766,Howey St/Keily Rd,Regional,144.59832,-37.49337,210021232,Gisborne
28767,Worcester Rd/Howey St ,Regional,144.59464,-37.49261,210021232,Gisborne
28768,Worcester Rd/Howey St ,Regional,144.59491,-37.49251,210021232,Gisborne
28769,Howey St/Aitken St ,Regional,144.59065,-37.49116,210021232,Gisborne
28770,Fisher St/Aitken St ,Regional,144.59051,-37.4911,210021232,Gisborne
28771,Aitken St/Hamilton St,Regional,144.59323,-37.48814,210021232,Gisborne
28772,Jacksons Creek Way/Kilmore Rd ,Regional,144.60054,-37.48419,210021232,Gisborne
28773,Kumbari Ct/Peavey Rd,Regional,144.60788,-37.47922,210021232,Gisborne
28774,Saunders Rd/Monaghan Rd,Regional,144.60546,-37.47309,210021232,Gisborne
28775,Farrell St/Saunders Rd ,Regional,144.5958,-37.46944,210021232,Gisborne
28776,Farrell St/Saunders Rd ,Regional,144.59598,-37.46928,210021232,Gisborne
28777,Station Rd/Chessy Park Dr ,Regional,144.59693,-37.46429,210021232,Gisborne
28778,Lim Ct/Chessy Park Dr ,Regional,144.59714,-37.46423,210021232,Gisborne
28779,Gisborne Station/Early St,Regional,144.59849,-37.45944,210021232,Gisborne
28800,Pakenham Station/Railway Ave ,Regional,145.48563,-38.08005,212011551,Pakenham - South East
3429,Cameron Way/Racecourse Rd,Regional,145.49342,-38.07678,212011551,Pakenham - South East
3430,Simon Dr/Racecourse Rd,Regional,145.49409,-38.0737,212011551,Pakenham - South East
3431,Princes Hwy/Racecourse Rd,Regional,145.49362,-38.07151,212011551,Pakenham - South East
3433,James St/Princes Hwy,Regional,145.4807,-38.07168,212011551,Pakenham - South East
3434,McGregor Rd/Princes Hwy,Regional,145.47738,-38.07143,212011551,Pakenham - South East
3448,Rundell Way/Princes Hwy,Regional,145.46477,-38.06494,212011552,Pakenham - South West
3449,Warwick Bayley Oval/Princes Hwy,Regional,145.46174,-38.06363,212011552,Pakenham - South West
3451,Cardinia Rd/Princes Hwy,Regional,145.43638,-38.06324,212011546,Beaconsfield - Officer
3452,McMullen Rd/Princes Hwy,Regional,145.41891,-38.06264,212011546,Beaconsfield - Officer
3453,Officer Recreation Reserve/Princes Hwy,Regional,145.41434,-38.06118,212011546,Beaconsfield - Officer
3454,Station St/Princes Hwy,Regional,145.40819,-38.05999,212011546,Beaconsfield - Officer
3455,Bayview Rd/Princes Hwy,Regional,145.40567,-38.05954,212011546,Beaconsfield - Officer
3456,Brunt Rd/Princes Hwy,Regional,145.39047,-38.05676,212011546,Beaconsfield - Officer
3689,Lauderdale Rd/Princes Hwy,Regional,145.30986,-38.02663,212021456,Narre Warren - South West
3691,Verdun Dr/Princes Hwy,Regional,145.31519,-38.02729,212021456,Narre Warren - South West
3709,Whiteside Rd/Princes Hwy,Regional,145.38989,-38.05627,212011546,Beaconsfield - Officer
3710,Bayview Rd/Princes Hwy,Regional,145.40567,-38.05921,212011546,Beaconsfield - Officer
3711,Tivendale Rd/Princes Hwy,Regional,145.40921,-38.05988,212011546,Beaconsfield - Officer
3712,Officer Recreation Reserve/Princes Hwy,Regional,145.41564,-38.06112,212011550,Pakenham - North West
3713,McMullen Rd/Princes Hwy,Regional,145.41926,-38.06226,212011550,Pakenham - North West
3716,Purton Rd/Princes Hwy,Regional,145.46332,-38.06382,212011550,Pakenham - North West
3719,Lyle Blue Ct/Princes Hwy,Regional,145.47714,-38.07115,212011549,Pakenham - North East
3720,Deveney St/Princes Hwy,Regional,145.4816,-38.07147,212011549,Pakenham - North East
3722,Racecourse Rd Nth/Racecourse Rd,Regional,145.49372,-38.07136,212011551,Pakenham - South East
3723,Cameron Way/Racecourse Rd,Regional,145.49354,-38.07707,212011551,Pakenham - South East
38022,Koo Wee Rup Bus Interchange/Rossiter Rd,Regional,145.49026,-38.19998,212011548,Koo Wee Rup
38026,Caravan Park/Princes Hwy,Regional,145.49175,-38.07152,212011551,Pakenham - South East
38027,King St/Princes Hwy,Regional,145.48715,-38.07214,212011551,Pakenham - South East
38032,St Patricks PS/Princes Hwy,Regional,145.47377,-38.07055,212011552,Pakenham - South West
38036,Thewlis Rd/Princes Hwy,Regional,145.45045,-38.06088,212011552,Pakenham - South West
38053,Cardinia Rd/Princes Hwy,Regional,145.43821,-38.06229,212011550,Pakenham - North West
38054,Thewlis Rd/Princes Hwy,Regional,145.44778,-38.0602,212011550,Pakenham - North West
38057,Pakenham Rd/Princes Hwy,Regional,145.46816,-38.06672,212011549,Pakenham - North East
38058,Pakenham Secondary College/Princes Hwy,Regional,145.47168,-38.06891,212011549,Pakenham - North East
38061,Atkins Rd/Princes Hwy,Regional,145.48661,-38.07183,212011549,Pakenham - North East
38064,Fountain Gate SC/Overland Dr,Regional,145.30307,-38.01969,212021456,Narre Warren - South West
41708,Gisborne Town Centre/Aitken St,Regional,144.59138,-37.48514,210021232,Gisborne
41729,Cherry Lane/Station Rd,Regional,144.5919,-37.47812,210021232,Gisborne
41980,Dalray Cres/Chessy Park Dr,Regional,144.59964,-37.46459,210021232,Gisborne
41981,Galilee Ct/Chessy Park Dr,Regional,144.60259,-37.46325,210021232,Gisborne
41982,Galilee Ct/Chessy Park Dr,Regional,144.60282,-37.46323,210021232,Gisborne
41983,Dalray Cres/Chessy Park Dr,Regional,144.59964,-37.46478,210021232,Gisborne
4209,Barrington Dr/Racecourse Rd,Regional,145.49421,-38.07392,212011551,Pakenham - South East
4217,Richardson St/Princes Hwy,Regional,145.31618,-38.02775,212021456,Narre Warren - South West
4218,Lloyd Ave/Princes Hwy,Regional,145.31215,-38.02727,212021456,Narre Warren - South West
4219,Stewart Ave/Princes Hwy,Regional,145.30926,-38.02697,212021456,Narre Warren - South West
43872,Bullengarook CFA/Bacchus Marsh Rd,Regional,144.51867,-37.48466,210021232,Gisborne
47025,Hamilton St/Goode St,Regional,144.58658,-37.48772,210021232,Gisborne
47026,Howey St/Penny Green Dr,Regional,144.58496,-37.49202,210021232,Gisborne
47028,Fowler Ct/Willowbank Rd,Regional,144.58785,-37.49959,210021232,Gisborne
47032,Howey St/Keily Rd,Regional,144.59821,-37.49332,210021232,Gisborne
47035,Aitken St/Hamilton St,Regional,144.59168,-37.48804,210021232,Gisborne
47036,Lonhro Ct/Station Rd,Regional,144.59429,-37.46932,210021232,Gisborne
47037,Farrell St/Station Rd,Regional,144.5954,-37.46764,210021232,Gisborne
47038,Brantome St/Robertson St,Regional,144.58958,-37.48572,210021232,Gisborne
47039,Gisborne Sec Col/Gisborne Melton Rd,Regional,144.58558,-37.49578,210021232,Gisborne
47040,Saunders Rd/Monaghan Rd,Regional,144.60539,-37.47293,210021232,Gisborne
47041,Kumbari Ct/Peavey Rd,Regional,144.60781,-37.47929,210021232,Gisborne
47042,Mountain View Way/Kilmore Rd,Regional,144.60046,-37.48394,210021232,Gisborne
47043,Cherry Lane/Swinburne Ave,Regional,144.58606,-37.47618,210021232,Gisborne
47044,Dumbarton Way/Mulgutherie Way,Regional,144.57758,-37.49039,210021232,Gisborne
47045,Thompson Cl/Fersfield Rd ,Regional,144.60473,-37.49808,210021232,Gisborne
47047,Jonathon Rd/Mount Gisborne Rd ,Regional,144.58815,-37.5057,210021232,Gisborne
47127,Frith Rd/Station Rd,Regional,144.59189,-37.48211,210021232,Gisborne
47128,Sankey Reserve/Station Rd,Regional,144.592,-37.48202,210021232,Gisborne
47130,Collis Ct/Wyralla Cres,Regional,144.58173,-37.50543,210021232,Gisborne
49543,Greenhills Rd/Healesville-Koo Wee Rup Rd ,Regional,145.48776,-38.10215,212011552,Pakenham - South West
49544,Greenhills Rd/Healesville-Koo Wee Rup Rd ,Regional,145.4879,-38.10321,212011551,Pakenham - South East
49545,Livestock Way/Healesville-Koo Wee Rup Rd ,Regional,145.4889,-38.09872,212011551,Pakenham - South East
49873,Holy Cross Catholic PS/Barringo Rd ,Regional,144.59939,-37.45587,210021232,Gisborne
51567,Brady Rd/Willowbank Rd,Regional,144.59701,-37.50069,210021232,Gisborne
51569,Lauren Ct/Fersfield Rd,Regional,144.60108,-37.49762,210021232,Gisborne
51579,Keily Rd/Fersfield Rd,Regional,144.59759,-37.49723,210021232,Gisborne
51790,Lancefield Primary School/High St,Regional,144.72736,-37.27553,210021235,Romsey
51791,Raglan St/High St,Regional,144.73243,-37.27639,210021235,Romsey
51792,Palmer St/Main St,Regional,144.7424,-37.34509,210021235,Romsey
51793,Garden Pl/Main St,Regional,144.74382,-37.3568,210021235,Romsey
51794,Richardson St/Main Rd,Regional,144.68376,-37.45731,210021234,Riddells Creek
51795,Richardson St/Main Rd,Regional,144.68381,-37.45703,210021234,Riddells Creek
51796,Gordon Cres/Main St,Regional,144.74378,-37.3578,210021235,Romsey
51797,Palmer St/Main St,Regional,144.74219,-37.34484,210021235,Romsey
51798,Raglan St/High St,Regional,144.73235,-37.27687,210021235,Romsey
51799,Lancefield Primary School/High St,Regional,144.72657,-37.27552,210021235,Romsey
1,Sunshine Station/City Pl ,Regional,144.83197,-37.78774,213011336,Sunshine
10121,Dorset Rd/Maroondah Hwy,Regional,145.29476,-37.77136,211031451,Croydon - West
10187,Exeter Rd/Maroondah Hwy,Regional,145.29546,-37.77045,211031265,Croydon Hills - Warranwood
13763,High St/Main Rd,Regional,144.73661,-37.27812,210021235,Romsey
13764,High St/Main Rd,Regional,144.73681,-37.27805,210021235,Romsey
13765,Romsey Community Hub/Main St,Regional,144.74281,-37.35009,210021235,Romsey
13766,Romsey Community Hub/Main St,Regional,144.74304,-37.35012,210021235,Romsey
16275,North Melbourne Station/Railway Pl ,Regional,144.94151,-37.80631,206041127,West Melbourne - Industrial
16342,Cranbourne Park SC/Lyall St,Regional,145.28416,-38.10964,212031300,Cranbourne
16834,Station St/High St,Regional,145.28271,-38.10164,212031300,Cranbourne
169,RMIT Bundoora Campus West/Plenty Rd,Regional,145.06899,-37.68071,209041216,Bundoora - North
17153,Hadfield Park/High St,Regional,144.97921,-37.41416,209041224,Wallan
17154,Hadfield Park/High St,Regional,144.97947,-37.41435,209041224,Wallan
17265,Station St/High St,Regional,145.2824,-38.10144,212031300,Cranbourne
17326,Cranbourne Park SC/High St,Regional,145.28319,-38.1089,212031300,Cranbourne
17337,Clyde-Five Ways Rd/South Gippsland Hwy,Regional,145.31812,-38.15947,212031303,Cranbourne South
17338,Clyde-Five Ways Rd/South Gippsland Hwy,Regional,145.3184,-38.15898,212031303,Cranbourne South
17339,Lyall St/South Gippsland Hwy,Regional,145.38154,-38.21366,212031308,Pearcedale - Tooradin
17340,Mickle St/South Gippsland Hwy,Regional,145.38105,-38.21375,212031308,Pearcedale - Tooradin
17341,Koo Wee Rup Bus Interchange/Rossiter Rd,Regional,145.49026,-38.19998,212011548,Koo Wee Rup
17342,Lang Lang Bus Interchange/Western Port Rd,Regional,145.56287,-38.26558,212011548,Koo Wee Rup
17584,General Store/Whittlesea-Yea Rd,Regional,145.23679,-37.47563,209031211,Kinglake
18,Melton Station/29 Staughton St ,Regional,144.57195,-37.70338,213041578,Melton South - Weir Views
20018,Dandenong Station/Foster St,Regional,145.20961,-37.98976,212041563,Dandenong - North
20816,Sunbury Station/Brook St,Regional,144.72855,-37.57912,210041540,Sunbury - South
20829,Macedon Station/Victoria St ,Regional,144.56164,-37.42309,210021233,Macedon
20831,Riddells Creek Station/Hamilton St ,Regional,144.67936,-37.46455,210021234,Riddells Creek
20832,Clarkefield Station/Station St ,Regional,144.74576,-37.48342,210021235,Romsey
20836,Southern Cross Coach Terminal/Spencer St,Regional,144.95222,-37.81522,206041118,Docklands
20900,Walker Park/Whitehorse Rd,Regional,145.18504,-37.81733,211041271,Nunawading
20912,Bacchus Marsh Station ,Regional,144.43698,-37.68747,213041353,Bacchus Marsh
21466,Garfield Station/Nar Nar Goon - Longwarry Rd ,Regional,145.67544,-38.09167,212011547,Bunyip - Garfield
22028,Rockbank Station/Leakes Rd ,Regional,144.65053,-37.72925,213041359,Rockbank - Mount Cottrell
22098,Herbert St/Melba Hwy,Regional,145.37444,-37.6576,211051276,Healesville - Yarra Glen
22099,Herbert St/Melba Hwy,Regional,145.3747,-37.6582,211051276,Healesville - Yarra Glen
22364,Nar Nar Goon Station/Carney St ,Regional,145.57065,-38.082,212011547,Bunyip - Garfield
22365,Tynong Station/Nar Nar Goon - Longwarry Rd ,Regional,145.62958,-38.0854,212011547,Bunyip - Garfield
22485,Heathcote Junction Station/Rail St ,Regional,145.02838,-37.37153,209041224,Wallan
2463,Coburg PS/Bell St,Regional,144.96737,-37.74127,206011497,Coburg - East
2690,Bundoora RMIT/Plenty Rd,Regional,145.06922,-37.68299,209041216,Bundoora - North
27537,Deer Park Station/Railway Pde,Regional,144.77109,-37.77731,213011569,Deer Park
27538,Caroline Springs Station/Christies Rd,Regional,144.73691,-37.76623,213041359,Rockbank - Mount Cottrell
28199,Lilydale Station/Main St,Regional,145.3469,-37.75677,211051278,Lilydale - Coldstream
3427,Pakenham Station/Railway Ave ,Regional,145.48598,-38.08021,212011551,Pakenham - South East
37740,Main St/Gisborne Rd ,Regional,144.43537,-37.67501,213041353,Bacchus Marsh
39770,Watts St/Whitehorse Rd,Regional,145.12626,-37.8186,207031163,Box Hill
40537,Gisborne Town Centre/Aitken St,Regional,144.59139,-37.48513,210021232,Gisborne
45071,Bunyip Station/Nar Nar Goon-Longwarry Rd ,Regional,145.72156,-38.09959,212011547,Bunyip - Garfield
46509,General Store/Whittlesea-Yea Rd,Regional,145.2369,-37.47577,209031211,Kinglake
46512,Walker Park/Whitehorse Rd,Regional,145.18506,-37.81731,211041271,Nunawading
48832,Cobblebank Station ,Regional,144.60363,-37.71282,213041572,Cobblebank - Strathtulloh
48838,Wallan Station/Station St ,Regional,145.00542,-37.41635,209041224,Wallan
49347,Wandong Station/Rail St ,Regional,145.02702,-37.3554,209041224,Wallan
50263,Wyndham Vale Station/Armstrong Rd,Regional,144.6086,-37.87413,213051590,Wyndham Vale - South
5102,Watts St/Whitehorse Rd,Regional,145.1257,-37.81808,207031163,Box Hill
52040,Little River Station ,Regional,144.49912,-37.96286,213051468,Werribee - West
52041,Tarneit Station,Regional,144.69518,-37.83245,213051584,Tarneit - North
52172,Melbourne Airport/Grants Rd,Regional,144.84988,-37.67417,210051248,Melbourne Airport
52533,Ardeer Station/Forrest St,Regional,144.80205,-37.78279,213011338,Sunshine West
52535,Broadmeadows Station/Pascoe Vale Rd,Regional,144.9188,-37.68342,210051242,Broadmeadows
52538,Craigieburn Station/Potter St ,Regional,144.94363,-37.60243,210051443,Craigieburn - South
52540,Donnybrook Station/Donnybrook Rd ,Regional,144.96955,-37.54258,209041225,Whittlesea
52545,Footscray Station/Irving St,Regional,144.90119,-37.80139,213031348,Footscray
52563,Watergardens Station/Watergardens Circuit Rd,Regional,144.77372,-37.70021,213011340,Taylors Lakes
52564,Gisborne Station/Early St,Regional,144.59895,-37.4592,210021232,Gisborne
6923,Campbellfield Plaza/Sydney Rd,Regional,144.95947,-37.68699,210051243,Campbellfield - Coolaroo
7694,Church St/Walnut St,Regional,145.11771,-37.512,209041225,Whittlesea
7739,Walnut St/Church St,Regional,145.11808,-37.51246,209041225,Whittlesea
7877,Eastland SC/Warrandyte Rd,Regional,145.23065,-37.81246,211031266,Ringwood
1000,Dole Ave/Cheddar Rd,Bus,145.01895,-37.70077,209021523,Reservoir - North East
10001,Rex St/Taylors Rd,Bus,144.77615,-37.72698,213011333,Kings Park (Vic.)
10002,Yuille St/Centenary Ave,Bus,144.59579,-37.67616,213041577,Melton
10009,Gum Rd/Main Rd West,Bus,144.7759,-37.7415,213011333,Kings Park (Vic.)
1001,Lloyd Ave/Cheddar Rd,Bus,145.01969,-37.69918,209021523,Reservoir - North East
10010,Kings Rd/Main Rd West,Bus,144.78008,-37.74195,213011334,St Albans - North
10011,Moffat St/Main Rd West,Bus,144.78347,-37.74232,213011334,St Albans - North
10012,Washington St/Main Rd West,Bus,144.78791,-37.7428,213011334,St Albans - North
10013,Kate St/Main Rd West,Bus,144.79457,-37.74357,213011334,St Albans - North
10014,Raleighs Rd/Centenary Ave,Bus,144.58878,-37.6753,213041577,Melton
10016,Melton Cemetery/O'Neills Rd,Bus,144.57825,-37.67498,213041577,Melton
10017,Swan St/O'Neills Rd,Bus,144.57751,-37.67876,213041577,Melton
10018,Reservoir SC/Broadway,Bus,145.00978,-37.71712,209021525,Reservoir - South East
10019,Northumberland Rd/Pascoe St,Bus,144.93404,-37.71629,210031538,Pascoe Vale
1002,Liston Ave/Cheddar Rd,Bus,145.021,-37.69745,209021523,Reservoir - North East
10020,Westbreen PS/Pascoe St,Bus,144.93639,-37.71655,210031538,Pascoe Vale
10021,Joffre Rd/Boundary Rd,Bus,144.94008,-37.71691,210031538,Pascoe Vale
10022,Kent Rd/Cumberland Rd,Bus,144.9402,-37.72071,210031538,Pascoe Vale
10023,Warwick Rd/Cumberland Rd,Bus,144.93997,-37.7222,210031538,Pascoe Vale
10025,Daley St/Cumberland Rd,Bus,144.93947,-37.72501,210031538,Pascoe Vale
10026,Pleasant St/Cumberland Rd,Bus,144.93912,-37.72712,210031538,Pascoe Vale
10027,Olive Gr/Cumberland Rd,Bus,144.93877,-37.72923,210031538,Pascoe Vale
10028,Gaffney St/Cumberland Rd,Bus,144.93816,-37.73217,210031538,Pascoe Vale
10029,Pardy St/Cumberland Rd,Bus,144.93798,-37.73393,210031538,Pascoe Vale
1003,Keon Pde/Dalton Rd,Bus,145.02316,-37.69504,209041223,Thomastown
10030,Eastgate St/Cumberland Rd,Bus,144.93767,-37.7355,206011109,Pascoe Vale South
10031,Bell St/Cumberland Rd,Bus,144.9373,-37.73761,206011109,Pascoe Vale South
10032,Balmoral Ave/Bell St,Bus,144.94195,-37.73879,206011109,Pascoe Vale South
10033,Royal Pde/Bell St,Bus,144.94705,-37.7394,206011109,Pascoe Vale South
10034,Davis St/Bell St,Bus,144.95078,-37.73979,206011498,Coburg - West
10035,Linsey St/Bell St,Bus,144.95363,-37.74009,206011498,Coburg - West
10036,Kelson St/Bell St,Bus,144.95602,-37.74033,206011498,Coburg - West
10037,Nelson St/Bell St,Bus,144.95992,-37.74072,206011498,Coburg - West
10038,Coburg Cemetery/Bell St,Bus,144.98237,-37.74311,209021429,Preston - West
10039,Tasman St/Bell St,Bus,144.9856,-37.74355,209021429,Preston - West
1004,Wood St/Dalton Rd,Bus,145.02549,-37.69201,209041223,Thomastown
10040,Gilbert Rd/Bell St,Bus,144.98953,-37.74398,209021429,Preston - West
10041,Erin St/Bell St,Bus,144.99293,-37.74428,209021429,Preston - West
10042,Penola St/Bell St,Bus,144.99594,-37.74455,209021429,Preston - West
10043,High St/Bell St,Bus,145.00204,-37.74516,209021428,Preston - East
10044,Plenty Rd/Bell St,Bus,145.00504,-37.74548,209021428,Preston - East
10045,Panch Health Service/Bell St,Bus,145.00849,-37.74582,209021428,Preston - East
10047,O'Keefe St/Bell St,Bus,145.01459,-37.7465,209021428,Preston - East
10048,Liberty Pde/Bell St,Bus,145.03714,-37.74942,209011199,Heidelberg West
10049,Oriel Rd/Bell St,Bus,145.03953,-37.74973,209011199,Heidelberg West
1005,Settlement Rd/Dalton Rd,Bus,145.02806,-37.68827,209041223,Thomastown
10050,Plunkett St/Bell St,Bus,145.04267,-37.75031,209011199,Heidelberg West
10051,Melbourne Polytechnic/Bell St ,Bus,145.04519,-37.75103,209011199,Heidelberg West
10052,Gotha St/Bell St,Bus,145.0478,-37.75189,209011199,Heidelberg West
10053,Austin Repat MC/Bell St,Bus,145.04982,-37.75268,209011199,Heidelberg West
10054,Myrtle St/Bell St,Bus,145.05268,-37.75384,209011199,Heidelberg West
10055,Warringal SC/Cape St,Bus,145.06733,-37.7556,209011198,Heidelberg - Rosanna
10056,Heidelberg Primary School/Darebin St ,Bus,145.06947,-37.75456,209011198,Heidelberg - Rosanna
10057,Brown St/Rosanna Rd,Bus,145.07036,-37.7521,209011198,Heidelberg - Rosanna
10058,Reid St/Rosanna Rd,Bus,145.07077,-37.75001,209011198,Heidelberg - Rosanna
10059,St James Rd/Rosanna Rd,Bus,145.07104,-37.74857,209011198,Heidelberg - Rosanna
1006,Alison St/Dalton Rd,Bus,145.02913,-37.684,209041223,Thomastown
10060,Station Rd/Rosanna Rd,Bus,145.07151,-37.7457,209011198,Heidelberg - Rosanna
10061,Millicent St/Lower Plenty Rd,Bus,145.06938,-37.74049,209011198,Heidelberg - Rosanna
10062,Arden Cres/Lower Plenty Rd,Bus,145.07077,-37.73967,209011198,Heidelberg - Rosanna
10063,Milford Gr/Lower Plenty Rd,Bus,145.07361,-37.73804,209011198,Heidelberg - Rosanna
10064,Lyons St/Hyde St,Bus,144.89955,-37.8088,213031348,Footscray
10065,Harris St/Hyde St,Bus,144.8984,-37.81115,213031348,Footscray
10066,Yarraville Gardens/Hyde St,Bus,144.89727,-37.81427,213031352,Yarraville
10067,Lennox St/Hyde St,Bus,144.89686,-37.8167,213031352,Yarraville
10068,Earsdon St/Hyde St,Bus,144.89651,-37.81822,213031352,Yarraville
10069,Little Hyde St/Hyde St,Bus,144.89621,-37.81988,213031352,Yarraville
